num,ID,field_01,field_02,field_03,field_04,field_05,weight_01,weight_02,weight_03,weight_04,weight_05
1,123111,content1_1,content2_1,content3_1,content4_1,content5_1,num1_1,num2_1,num3_1,num4_1,num5_1
2,123111,content1_2,content2_2,content3_2,content4_2,content5_2,num1_2,num2_2,num3_2,num4_2,num5_2
3,123111,content1_3,content2_3,content3_3,content4_3,content5_3,num1_3,num2_3,num3_3,num4_3,num5_3
4,123111,content1_4,content2_4,content3_4,content4_4,content5_4,num1_4,num2_4,num3_4,num4_4,num5_4
5,123111,content1_5,content2_5,content3_5,content4_5,content5_5,num1_5,num2_5,num3_5,num4_5,num5_5
6,123111,content1_6,content2_6,content3_6,content4_6,content5_6,num1_6,num2_6,num3_6,num4_6,num5_6
7,123111,content1_7,content2_7,content3_7,content4_7,content5_7,num1_7,num2_7,num3_7,num4_7,num5_7
8,123111,content1_8,content2_8,content3_8,content4_8,content5_8,num1_8,num2_8,num3_8,num4_8,num5_8
9,123111,content1_9,content2_9,content3_9,content4_9,content5_9,num1_9,num2_9,num3_9,num4_9,num5_9
10,123111,content1_10,content2_10,content3_10,content4_10,content5_10,num1_10,num2_10,num3_10,num4_10,num5_10
11,123111,content1_11,content2_11,content3_11,content4_11,content5_11,num1_11,num2_11,num3_11,num4_11,num5_11
12,123111,content1_12,content2_12,content3_12,content4_12,content5_12,num1_12,num2_12,num3_12,num4_12,num5_12
13,123111,content1_13,content2_13,content3_13,content4_13,content5_13,num1_13,num2_13,num3_13,num4_13,num5_13
14,123111,content1_14,content2_14,content3_14,content4_14,content5_14,num1_14,num2_14,num3_14,num4_14,num5_14
15,123111,content1_15,content2_15,content3_15,content4_15,content5_15,num1_15,num2_15,num3_15,num4_15,num5_15
16,123111,content1_16,content2_16,content3_16,content4_16,content5_16,num1_16,num2_16,num3_16,num4_16,num5_16
17,123111,content1_17,content2_17,content3_17,content4_17,content5_17,num1_17,num2_17,num3_17,num4_17,num5_17
18,123111,content1_18,content2_18,content3_18,content4_18,content5_18,num1_18,num2_18,num3_18,num4_18,num5_18
19,123111,content1_19,content2_19,content3_19,content4_19,content5_19,num1_19,num2_19,num3_19,num4_19,num5_19
20,123111,content1_20,content2_20,content3_20,content4_20,content5_20,num1_20,num2_20,num3_20,num4_20,num5_20
21,123111,content1_21,content2_21,content3_21,content4_21,content5_21,num1_21,num2_21,num3_21,num4_21,num5_21
22,123111,content1_22,content2_22,content3_22,content4_22,content5_22,num1_22,num2_22,num3_22,num4_22,num5_22
23,123111,content1_23,content2_23,content3_23,content4_23,content5_23,num1_23,num2_23,num3_23,num4_23,num5_23
24,123111,content1_24,content2_24,content3_24,content4_24,content5_24,num1_24,num2_24,num3_24,num4_24,num5_24
25,123111,content1_25,content2_25,content3_25,content4_25,content5_25,num1_25,num2_25,num3_25,num4_25,num5_25
26,123111,content1_26,content2_26,content3_26,content4_26,content5_26,num1_26,num2_26,num3_26,num4_26,num5_26
27,123111,content1_27,content2_27,content3_27,content4_27,content5_27,num1_27,num2_27,num3_27,num4_27,num5_27
28,123111,content1_28,content2_28,content3_28,content4_28,content5_28,num1_28,num2_28,num3_28,num4_28,num5_28
29,123111,content1_29,content2_29,content3_29,content4_29,content5_29,num1_29,num2_29,num3_29,num4_29,num5_29
30,123111,content1_30,content2_30,content3_30,content4_30,content5_30,num1_30,num2_30,num3_30,num4_30,num5_30
31,123111,content1_31,content2_31,content3_31,content4_31,content5_31,num1_31,num2_31,num3_31,num4_31,num5_31
32,123111,content1_32,content2_32,content3_32,content4_32,content5_32,num1_32,num2_32,num3_32,num4_32,num5_32
33,123111,content1_33,content2_33,content3_33,content4_33,content5_33,num1_33,num2_33,num3_33,num4_33,num5_33
34,123111,content1_34,content2_34,content3_34,content4_34,content5_34,num1_34,num2_34,num3_34,num4_34,num5_34
35,123111,content1_35,content2_35,content3_35,content4_35,content5_35,num1_35,num2_35,num3_35,num4_35,num5_35
36,123111,content1_36,content2_36,content3_36,content4_36,content5_36,num1_36,num2_36,num3_36,num4_36,num5_36
37,123111,content1_37,content2_37,content3_37,content4_37,content5_37,num1_37,num2_37,num3_37,num4_37,num5_37
38,123111,content1_38,content2_38,content3_38,content4_38,content5_38,num1_38,num2_38,num3_38,num4_38,num5_38
39,123111,content1_39,content2_39,content3_39,content4_39,content5_39,num1_39,num2_39,num3_39,num4_39,num5_39
40,123111,content1_40,content2_40,content3_40,content4_40,content5_40,num1_40,num2_40,num3_40,num4_40,num5_40
