num,ID,major
1,060101A,软件工程
2,060101B,生物工程
3,060101C,汉语言文学
4,060101D,光电
5,060102A,公共信息资源管理
6,060102B,教育学原理
7,060102C,农艺与种业
8,060102D,马克思主义中国化
9,060201A,计科
10,060201B,外国哲学
11,060201C,汉语言文学
12,060201D,农业经济管理
13,060202A,电子与通信工程
14,060202B,思想政治教育
15,060202C,公共卫生
16,060202D,中文系文艺学专业
17,060203A,数字媒体技术
18,060203B,材料科学与工程
19,060203C,编辑出版学
20,060203D,生物系统工程
21,060301A,计算机科学与技术
22,060301B,生态学
23,060301C,会计学
24,060301D,材料科学与工程
25,060302A,软件工程
26,060302B,汉语言文学
27,060302C,生物科学
28,060302D,金融学
29,060401A,计科
30,060401B,广告学
31,060401C,工程管理
32,060401D,风景园林
33,060402A,数字媒体技术
34,060402B,马克思主义基本原理
35,060402C,汉语言文学
36,060402D,化学
37,060601A,人工智能
38,060601B,土木水利
39,060601C,交通运输
40,060601D,劳动与社会保障
41,060602A,计算机科学与技术
42,060602B,城市规划
43,060602C,防灾减灾工程及防护工程
44,060602D,动物医学
45,060701A,计算机科学与技术
46,060701B,社会学
47,060701C,大气科学
48,060701D,经济学院
49,060702A,电子科学与技术
50,060702B,教育学
51,060702C,植物保护
52,060702D,材料科学与工程
53,060901A,计算机科学与技术
54,060901B,港口航道与海岸工程
55,060901C,社会学
56,060901D,化学工程
57,060902A,计算机科学与技术
58,060902B,历史学
59,060902C,临床医学
60,060902D,海洋工程与技术
61,061001A,水利水电
62,061001B,财务管理
63,061001C,植物学
64,061001D,汉语言文学
65,061002A,自动化（控制）
66,061002B,预防医学
67,061002C,兽医
68,061002D,建筑
69,061003A,光电信息科学与工程
70,061003B,哲学
71,061003C,策略传播学
72,061003D,临床医学
73,061004A,自动化（控制）
74,061004B,社会学
75,061004C,生物工程
76,061004D,预防医学
77,061101A,计算机科学与技术
78,061101B,设计学
79,061101C,车辆工程
80,061101D,劳动与社会保障
81,061102A,计算机科学与技术
82,061102B,农业资源与环境
83,061102C,生化与分子
84,061102D,马克思主义中国化研究
85,061301A,微电子科学与工程
86,061301B,土地资源管理
87,061301C,广播电视学
88,061301D,海洋工程与技术
89,061302A,自动化(控制)
90,061302B,教育学
91,061302C,经济学
92,061302D,自动化（控制）
93,061303A,信息工程
94,061303B,汉语言文学
95,061303C,生态
96,061303D,化学
97,061304A,信息管理与信息系统
98,061304B,政治学与行政学
99,061304C,食品工程
100,061304D,临床医学
101,061401A,自动化
102,061401B,农林经济管理
103,061401C,农业资源与环境
104,061401D,信息管理与信息系统
105,061402A,计算机科学与技术
106,061402B,外国哲学
107,061402C,法学
108,061402D,德语
109,061501A,电子科学与技术
110,061501B,土地资源管理
111,061501C,文物与博物馆
112,061501D,农业资源与环境
113,061502A,电子科学与技术
114,061502B,马克思主义基本原理
115,061502C,教育学
116,061502D,文物与博物馆学
117,061601A,自动化（控制）
118,061601B,国际经济与贸易
119,061601C,医学
120,061601D,生物化学与分子生物学
121,061602A,信息安全
122,061602B,环境科学
123,061602C,行政管理
124,061602D,物理系
125,061801A,计算机科学与技术
126,061801B,新闻学
127,061801C,机械工程
128,061801D,神经生物学
129,061802A,电气工程及其自动化
130,061802B,作物遗传育种
131,061802C,光电信息科学与技术
132,061802D,植物保护
133,061901A,计算机科学与技术
134,061901B,机械工程
135,061901C,口腔医学
136,061901D,金融
137,061902A,电子与计算机工程
138,061902B,农业电气化与自动化
139,061902C,机械
140,061902D,汉语言文学
141,062001A,微电子科学与工程
142,062001B,农业工程
143,062001C,临床医学
144,062001D,古典文献学
145,062002A,自动化(控制)
146,062002B,微生物学
147,062002C,外国语言学及应用语言学
148,062002D,药理学
