num,ID
1,060101A
2,060101B
3,060101C
4,060101D
5,060102A
6,060102B
7,060102C
8,060102D
9,060201A
10,060201B
11,060201C
12,060201D
13,060202A
14,060202B
15,060202C
16,060202D
17,060203A
18,060203B
19,060203C
20,060203D
21,060301A
22,060301B
23,060301C
24,060301D
25,060302A
26,060302B
27,060302C
28,060302D
29,060401A
30,060401B
31,060401C
32,060401D
33,060402A
34,060402B
35,060402C
36,060402D
37,060601A
38,060601B
39,060601C
40,060601D
41,060602A
42,060602B
43,060602C
44,060602D
45,060701A
46,060701B
47,060701C
48,060701D
49,060702A
50,060702B
51,060702C
52,060702D
53,060901A
54,060901B
55,060901C
56,060901D
57,060902A
58,060902B
59,060902C
60,060902D
61,061001A
62,061001B
63,061001C
64,061001D
65,061002A
66,061002B
67,061002C
68,061002D
69,061003A
70,061003B
71,061003C
72,061003D
73,061004A
74,061004B
75,061004C
76,061004D
77,061101A
78,061101B
79,061101C
80,061101D
81,061102A
82,061102B
83,061102C
84,061102D
85,061301A
86,061301B
87,061301C
88,061301D
89,061302A
90,061302B
91,061302C
92,061302D
93,061303A
94,061303B
95,061303C
96,061303D
97,061304A
98,061304B
99,061304C
100,061304D
101,061401A
102,061401B
103,061401C
104,061401D
105,061402A
106,061402B
107,061402C
108,061402D
109,061501A
110,061501B
111,061501C
112,061501D
113,061502A
114,061502B
115,061502C
116,061502D
117,061601A
118,061601B
119,061601C
120,061601D
121,061602A
122,061602B
123,061602C
124,061602D
125,061801A
126,061801B
127,061801C
128,061801D
129,061802A
130,061802B
131,061802C
132,061802D
133,061901A
134,061901B
135,061901C
136,061901D
137,061902A
138,061902B
139,061902C
140,061902D
141,062001A
142,062001B
143,062001C
144,062001D
145,062002A
146,062002B
147,062002C
148,062002D
