num,ID,MBTI
1,1203472,ESTP
2,1203471,INFJ
3,1203465,ISTJ
4,1203464,INFJ
5,1203453,ISFJ
6,1203452,INTP
7,1203450,INTJ
8,1203446,INTJ
9,1203445,INTP
10,1203438,ESFP
11,1203436,ISFJ
12,1203435,ENTJ
13,1203434,ENTJ
14,1203433,ESTJ
15,1203432,INFJ
16,1203431,ENTJ
17,1203430,INFJ
18,1203428,ENFJ
19,1203425,ESTJ
20,1203422,INTJ
21,1203420,ISFJ
22,1203417,ISFJ
23,1203414,ENFP
24,1203413,ESFJ
25,1203412,INTJ
26,1203410,ESFJ
27,1203409,INTP
28,1203407,ESTJ
29,1203406,ESTJ
30,1203403,ESTJ
31,1203402,ISFJ
32,1203401,INTJ
33,1203400,ISTJ
34,1203397,ISFJ
35,1203393,INTJ
36,1203391,ENTJ
37,1203385,ISFJ
38,1203383,ISFP
39,1203382,INFJ
40,1203381,INTP
41,1203380,ENTJ
42,1203376,ESTJ
43,1203375,ESTJ
44,1203373,ISFJ
45,1203369,ENFP
46,1203368,INTJ
47,1203366,ENTJ
48,1203365,INTP
49,1203361,INTJ
50,1203359,INFJ
51,1203358,INTJ
52,1203356,ENFP
53,1203355,ESFJ
54,1203351,INTP
55,1203350,INFP
56,1203344,INTP
