num,ID,age
1,1203507,21
2,1203506,23
3,1203497,20
4,1203494,22
5,1203493,22
6,1203492,21
7,1203491,25
8,1203490,22
9,1203489,19
10,1203487,25
11,1203486,21
12,1203485,19
13,1203477,20
14,1203476,25
15,1203474,20
16,1203467,24
17,1203455,25
18,1203441,20
19,1203419,21
20,1203415,20
21,1203411,24
22,1203408,23
23,1203398,19
24,1203395,25
25,1203394,23
26,1203392,22
27,1203389,19
28,1203388,25
29,1203387,21
30,1203386,22
31,1203384,26
32,1203378,24
33,1203377,20
34,1203372,24
35,1203370,25
36,1203367,25
37,1203363,20
38,1203362,26
39,1203352,19
40,1203323,24
