num,ID,MBTI
1,1203507,INTP
2,1203506,INFJ
3,1203497,INFJ
4,1203494,INTJ
5,1203493,ENFP
6,1203492,ENFJ
7,1203491,ENFJ
8,1203490,INTJ
9,1203489,INTP
10,1203487,ENTP
11,1203486,INTP
12,1203485,INFJ
13,1203477,ESFJ
14,1203476,INTP
15,1203474,INTJ
16,1203467,ISFJ
17,1203455,ENFP
18,1203441,ISTJ
19,1203419,INTJ
20,1203415,ENTJ
21,1203411,INFP
22,1203408,INTJ
23,1203398,INTP
24,1203395,INFP
25,1203394,INTJ
26,1203392,ISFJ
27,1203389,ENTP
28,1203388,INTP
29,1203387,ENFP
30,1203386,ESTJ
31,1203384,INTJ
32,1203378,ISTJ
33,1203377,INTJ
34,1203372,INFJ
35,1203370,INTJ
36,1203367,ENTJ
37,1203363,INTJ
38,1203362,INFJ
39,1203352,INTJ
40,1203323,INTJ
